,fecha,nombre,provincia,altitud,tmed,prec,tmin,tmax,velmedia,racha
9669,2022-02-09,"HUELVA, RONDA ESTE",HUELVA,18,"13,8","0,0","6,8","20,8","2,2","6,9"
9672,2022-02-09,"ROTA, BASE NAVAL",CADIZ,21,"14,0","0,0","8,6","19,4","5,3","15,0"
9674,2022-02-09,AYAMONTE,HUELVA,3,"13,1","0,0","6,6","19,6","1,1","4,7"
9683,2022-02-09,TARIFA,CADIZ,32,"14,5","0,0","13,2","15,8","10,0","20,6"
9691,2022-02-09,LA RODA DE ANDALUCÍA,SEVILLA,410,"12,6","0,0","7,8","17,3","3,9","12,2"
9695,2022-02-10,ANTEQUERA,MALAGA,408,"10,2","0,0","3,2","17,2","0,8","6,1"
9706,2022-02-10,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
9712,2022-02-10,HUÉRCAL-OVERA,ALMERIA,300,"10,5","0,0","4,3","16,7","1,1","6,4"
9734,2022-02-10,ADRA,ALMERIA,8,"15,6","0,1","12,0","19,1","1,4","4,4"
9738,2022-02-10,SANTA ELENA,JAEN,770,"10,5","0,0","5,2","15,8","2,5","7,8"
9740,2022-02-10,ARROYO DEL OJANCO,JAEN,580,"10,6","0,0","0,9","20,4",,
9749,2022-02-10,GRANADA BASE AÉREA,GRANADA,687,"8,9","0,0","-0,6","18,4","2,5","5,0"
9752,2022-02-10,"MOGUER, EL ARENOSILLO",HUELVA,41,"10,8","0,0","5,5","16,2","1,7","5,3"
9757,2022-02-10,VEJER DE LA FRONTERA,CADIZ,186,"14,0","0,0","9,9","18,0","3,3","10,0"
9761,2022-02-10,DOÑA MENCÍA,CORDOBA,650,"13,8","0,0","8,4","19,3","1,7","5,3"
9766,2022-02-10,CÓRDOBA AEROPUERTO,CORDOBA,90,"11,6","0,0","1,5","21,6","1,1","7,2"
9768,2022-02-10,ÉCIJA,SEVILLA,130,"11,9","0,0","2,7","21,1","1,1","4,2"
9771,2022-02-10,ESTEPONA,MALAGA,19,"14,7","0,0","11,7","17,7","2,5","7,2"
9777,2022-02-10,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"11,4","0,0","2,0","20,7","1,7","5,8"
9781,2022-02-10,MORÓN DE LA FRONTERA,SEVILLA,87,"12,1","0,0","3,3","20,9","1,4","4,7"
9782,2022-02-10,BAZA,GRANADA,785,"9,2","0,0","0,0","18,5","1,7","6,4"
9783,2022-02-10,SAN FERNANDO,CADIZ,28,"15,6","0,0","10,7","20,6","2,8","10,0"
9799,2022-02-10,HINOJOSA DEL DUQUE,CORDOBA,551,"10,0","0,0","2,0","17,9","1,4","3,6"
9806,2022-02-10,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"12,4","0,0","6,5","18,3","1,7","6,1"
9813,2022-02-10,CAZALLA DE LA SIERRA,SEVILLA,550,"11,1","0,0","2,0","20,2","1,4","5,0"
9817,2022-02-10,JAÉN,JAEN,580,"11,6","0,0","6,1","17,2","1,4","3,6"
9829,2022-02-10,SEVILLA AEROPUERTO,SEVILLA,34,"12,0","0,0","4,3","19,8","1,4","5,8"
9830,2022-02-10,TORROX,MALAGA,3,"13,2","0,0","10,5","15,9","1,1","4,2"
9833,2022-02-10,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,2","0,0","11,1","17,3","2,2","7,5"
9834,2022-02-10,GRANADA AEROPUERTO,GRANADA,560,"9,1","0,0","-1,2","19,4","1,7","8,9"
9837,2022-02-10,FUENGIROLA,MALAGA,8,,"0,0",,,"1,7","4,2"
9862,2022-02-10,ABLA,ALMERIA,869,"9,4","0,0","3,0","15,7","1,4","6,4"
9865,2022-02-10,ALAJAR,HUELVA,572,"14,5","0,0","8,3","20,7","2,5","14,2"
9872,2022-02-10,LOJA,GRANADA,760,"11,0",,"2,4","19,6","2,5","7,5"
9873,2022-02-10,MÁLAGA AEROPUERTO,MALAGA,7,"14,2","0,0","10,8","17,7","3,1","6,7"
9888,2022-02-10,GRAZALEMA,CADIZ,913,"11,0","0,0","4,4","17,5","1,7","5,0"
9891,2022-02-10,VILLARRODRIGO,JAEN,862,"10,6","0,0","3,2","17,9","1,1","9,2"
9893,2022-02-10,ANDÚJAR,JAEN,202,"9,9","0,0","-1,0","20,8","0,3","5,0"
9895,2022-02-10,CÁDIZ,CADIZ,2,"15,0","0,0","10,9","19,1","1,7","10,0"
9906,2022-02-10,ALMERÍA AEROPUERTO,ALMERIA,21,"12,5","0,0","7,9","17,1","3,3","8,3"
9910,2022-02-10,"HUELVA, RONDA ESTE",HUELVA,18,"12,7","0,0","4,5","20,9","2,5","5,6"
9913,2022-02-10,"ROTA, BASE NAVAL",CADIZ,21,"12,4","0,0","5,3","19,5","1,7","7,2"
9915,2022-02-10,AYAMONTE,HUELVA,3,"12,2","0,0","5,5","18,8","0,6","5,0"
9924,2022-02-10,TARIFA,CADIZ,32,"14,2","0,0","12,3","16,1","7,5","16,1"
9932,2022-02-10,LA RODA DE ANDALUCÍA,SEVILLA,410,"12,6","0,0","5,3","19,8","1,4","6,7"
9936,2022-02-11,ANTEQUERA,MALAGA,408,"11,9","0,0","4,7","19,1","0,3","5,3"
9947,2022-02-11,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
9953,2022-02-11,HUÉRCAL-OVERA,ALMERIA,300,"10,5","0,0","3,7","17,3","1,4","6,4"
9975,2022-02-11,ADRA,ALMERIA,8,"15,1","0,1","11,2","19,0","0,6","3,6"
9979,2022-02-11,SANTA ELENA,JAEN,770,"12,4","0,0","7,5","17,2","1,7","6,1"
9981,2022-02-11,ARROYO DEL OJANCO,JAEN,580,"12,2","0,0","4,1","20,3",,
9990,2022-02-11,GRANADA BASE AÉREA,GRANADA,687,"10,6","0,0","1,4","19,8","2,5","12,2"
9993,2022-02-11,"MOGUER, EL ARENOSILLO",HUELVA,41,"11,6","0,0","6,4","16,7","1,4","5,6"
9998,2022-02-11,VEJER DE LA FRONTERA,CADIZ,186,"15,0","0,0","10,1","19,9","1,9","7,2"
10002,2022-02-11,DOÑA MENCÍA,CORDOBA,650,"14,4","0,0","9,2","19,6","1,7","5,8"
10007,2022-02-11,CÓRDOBA AEROPUERTO,CORDOBA,90,"12,9","0,0","3,6","22,2","0,8","4,2"
10009,2022-02-11,ÉCIJA,SEVILLA,130,"13,8","0,0","5,8","21,8","1,4","4,7"
10012,2022-02-11,ESTEPONA,MALAGA,19,"15,2","0,0","12,5","17,9","1,7","6,9"
10018,2022-02-11,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"13,8","0,0","5,7","21,8","2,5","7,2"
10022,2022-02-11,MORÓN DE LA FRONTERA,SEVILLA,87,"13,5","0,0","5,6","21,4","1,9","5,0"
10023,2022-02-11,BAZA,GRANADA,785,"9,2","0,0","-0,3","18,8","2,2","8,6"
10024,2022-02-11,SAN FERNANDO,CADIZ,28,"15,5","0,0","11,5","19,5","1,7","6,7"
10040,2022-02-11,HINOJOSA DEL DUQUE,CORDOBA,551,"11,6","0,0","4,8","18,4","1,4","4,2"
10047,2022-02-11,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"12,7","0,0","7,4","18,0","2,2","5,8"
10054,2022-02-11,CAZALLA DE LA SIERRA,SEVILLA,550,"12,8","0,0","5,2","20,5","1,4","6,1"
10058,2022-02-11,JAÉN,JAEN,580,"13,6","0,0","9,1","18,2","1,4","4,7"
10070,2022-02-11,SEVILLA AEROPUERTO,SEVILLA,34,"14,5","0,0","7,3","21,7","1,4","4,7"
10071,2022-02-11,TORROX,MALAGA,3,"13,7","0,0","9,8","17,6","1,9","4,7"
10074,2022-02-11,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,1","0,0","10,8","17,4","2,5","6,9"
10075,2022-02-11,GRANADA AEROPUERTO,GRANADA,560,"10,6","0,0","0,4","20,7","2,2","7,8"
10078,2022-02-11,FUENGIROLA,MALAGA,8,,"0,0",,,"1,7","3,9"
10103,2022-02-11,ABLA,ALMERIA,869,"11,2","0,0","6,2","16,2","1,9","7,8"
10106,2022-02-11,ALAJAR,HUELVA,572,"16,2","0,0","12,2","20,3","3,6","14,7"
10113,2022-02-11,LOJA,GRANADA,760,"12,6","0,0","4,5","20,8","1,7","7,2"
10114,2022-02-11,MÁLAGA AEROPUERTO,MALAGA,7,"13,6","0,0","9,6","17,6","3,9","8,3"
10129,2022-02-11,GRAZALEMA,CADIZ,913,"12,4","0,0","7,0","17,8","1,1","4,4"
10132,2022-02-11,VILLARRODRIGO,JAEN,862,"12,6","0,0","6,1","19,2","1,7","7,8"
10134,2022-02-11,ANDÚJAR,JAEN,202,"12,0","0,0","2,8","21,3","0,8","4,2"
10136,2022-02-11,CÁDIZ,CADIZ,2,"15,7","0,0","12,3","19,1","1,7","7,5"
10147,2022-02-11,ALMERÍA AEROPUERTO,ALMERIA,21,"13,2","0,0","9,5","16,8","3,3","6,1"
10151,2022-02-11,"HUELVA, RONDA ESTE",HUELVA,18,"14,6","0,0","7,6","21,5","2,2","7,8"
10154,2022-02-11,"ROTA, BASE NAVAL",CADIZ,21,"13,7","0,0","8,5","18,9","1,9","8,3"
10156,2022-02-11,AYAMONTE,HUELVA,3,"15,6","0,0","10,2","21,1","1,4","5,3"
10165,2022-02-11,TARIFA,CADIZ,32,"14,1","0,0","12,3","15,9","5,6","11,9"
10173,2022-02-11,LA RODA DE ANDALUCÍA,SEVILLA,410,"12,9","0,0","6,5","19,3","1,9","8,1"
10177,2022-02-12,ANTEQUERA,MALAGA,408,"11,8","0,0","7,9","15,7","1,4","8,3"
10188,2022-02-12,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
10194,2022-02-12,HUÉRCAL-OVERA,ALMERIA,300,"11,0","0,0","5,2","16,8","1,4","6,1"
10216,2022-02-12,ADRA,ALMERIA,8,"15,8","0,0","13,0","18,7","1,1","3,9"
10220,2022-02-12,SANTA ELENA,JAEN,770,"11,4","0,0","7,2","15,5","1,7","6,4"
10222,2022-02-12,ARROYO DEL OJANCO,JAEN,580,"11,4","0,0","5,0","17,9",,
10231,2022-02-12,GRANADA BASE AÉREA,GRANADA,687,"8,7","0,0","0,8","16,6","1,9","6,9"
10234,2022-02-12,"MOGUER, EL ARENOSILLO",HUELVA,41,"12,4","0,0","9,1","15,8","1,7","5,3"
10239,2022-02-12,VEJER DE LA FRONTERA,CADIZ,186,"14,4","0,0","10,4","18,5","3,1","9,2"
10243,2022-02-12,DOÑA MENCÍA,CORDOBA,650,"12,8","0,0","8,3","17,4","2,2","7,2"
10248,2022-02-12,CÓRDOBA AEROPUERTO,CORDOBA,90,"11,2","0,0","3,7","18,6","2,2","7,8"
10250,2022-02-12,ÉCIJA,SEVILLA,130,"12,9","0,0","5,7","20,1","1,7","5,8"
10253,2022-02-12,ESTEPONA,MALAGA,19,"15,0","0,0","12,1","17,8","1,9","5,6"
10259,2022-02-12,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"13,1","0,0","5,7","20,5","2,2","8,3"
10263,2022-02-12,MORÓN DE LA FRONTERA,SEVILLA,87,"11,4","0,0","3,8","19,0","0,8","3,6"
10264,2022-02-12,BAZA,GRANADA,785,"7,9","0,0","-2,5","18,3","1,9","7,8"
10265,2022-02-12,SAN FERNANDO,CADIZ,28,"16,0","0,0","11,3","20,6","1,9","7,5"
10281,2022-02-12,HINOJOSA DEL DUQUE,CORDOBA,551,"10,6","1,0","3,8","17,4","1,1","6,1"
10288,2022-02-12,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"11,3","0,0","5,9","16,7","2,2","8,1"
10295,2022-02-12,CAZALLA DE LA SIERRA,SEVILLA,550,"9,8","0,0","2,9","16,6","1,7","6,9"
10299,2022-02-12,JAÉN,JAEN,580,"11,6","0,0","7,3","15,9","2,5","6,7"
10311,2022-02-12,SEVILLA AEROPUERTO,SEVILLA,34,"12,6","0,0","7,4","17,9","2,2","6,7"
10312,2022-02-12,TORROX,MALAGA,3,"13,2","0,0","10,0","16,4","1,9","4,7"
10315,2022-02-12,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"12,6","0,0","9,7","15,6","1,4","5,8"
10316,2022-02-12,GRANADA AEROPUERTO,GRANADA,560,"9,1",Ip,"-0,3","18,5","1,1","9,7"
10319,2022-02-12,FUENGIROLA,MALAGA,8,,"0,0",,,"0,8","4,2"
10344,2022-02-12,ABLA,ALMERIA,869,"8,2","0,0","1,5","14,8","1,4","8,9"
10347,2022-02-12,ALAJAR,HUELVA,572,"11,8","0,0","8,2","15,3","1,7","9,4"
10354,2022-02-12,LOJA,GRANADA,760,"12,0","0,0","5,8","18,3","1,1","6,9"
10355,2022-02-12,MÁLAGA AEROPUERTO,MALAGA,7,"12,8","0,0","9,3","16,2","2,8","6,1"
10370,2022-02-12,GRAZALEMA,CADIZ,913,"10,6","0,0","5,7","15,6","1,4","4,2"
10373,2022-02-12,VILLARRODRIGO,JAEN,862,"10,8","0,0","5,8","15,8","2,2","6,1"
10375,2022-02-12,ANDÚJAR,JAEN,202,"10,4","0,0","1,5","19,4","1,4","6,7"
10377,2022-02-12,CÁDIZ,CADIZ,2,"15,8","0,0","12,6","19,0","3,3","8,3"
10388,2022-02-12,ALMERÍA AEROPUERTO,ALMERIA,21,"13,2","0,0","9,2","17,2","3,3","6,7"
10392,2022-02-12,"HUELVA, RONDA ESTE",HUELVA,18,"14,0","0,0","9,4","18,5","2,5","6,9"
10395,2022-02-12,"ROTA, BASE NAVAL",CADIZ,21,"15,0","0,0","10,6","19,4","3,1","9,2"
10397,2022-02-12,AYAMONTE,HUELVA,3,"14,6","0,0","9,4","19,7","1,1","5,8"
10406,2022-02-12,TARIFA,CADIZ,32,"14,2","0,0","12,5","15,9","7,8","14,7"
10414,2022-02-12,LA RODA DE ANDALUCÍA,SEVILLA,410,"12,1","0,0","6,0","18,2","2,5","7,5"
10418,2022-02-13,ANTEQUERA,MALAGA,408,"12,2","0,5","8,2","16,1","1,1","8,1"
10430,2022-02-13,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
10436,2022-02-13,HUÉRCAL-OVERA,ALMERIA,300,"9,2","0,0","2,5","15,9","0,8","6,7"
10459,2022-02-13,ADRA,ALMERIA,8,"15,8","0,0","13,0","18,6","1,9","9,7"
10463,2022-02-13,SANTA ELENA,JAEN,770,"10,4","2,0","7,6","13,2","1,7","7,5"
10465,2022-02-13,ARROYO DEL OJANCO,JAEN,580,"10,7","3,6","4,8","16,6",,
10474,2022-02-13,GRANADA BASE AÉREA,GRANADA,687,"8,8","0,0","0,9","16,8","1,9","6,4"
10477,2022-02-13,"MOGUER, EL ARENOSILLO",HUELVA,41,"11,5","1,2","6,6","16,4","1,9","7,5"
10482,2022-02-13,VEJER DE LA FRONTERA,CADIZ,186,"14,4","0,6","9,9","18,8","2,2","6,9"
10486,2022-02-13,DOÑA MENCÍA,CORDOBA,650,"11,9","1,2","8,0","15,8","2,5","10,3"
10491,2022-02-13,CÓRDOBA AEROPUERTO,CORDOBA,90,"11,6","0,6","5,1","18,2","1,1","7,8"
10493,2022-02-13,ÉCIJA,SEVILLA,130,"13,2","1,0","7,2","19,2","1,7","7,5"
10496,2022-02-13,ESTEPONA,MALAGA,19,"15,8","0,0","13,1","18,6","1,9","5,3"
10502,2022-02-13,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"12,4","5,7","3,6","21,3","3,1","8,3"
10506,2022-02-13,MORÓN DE LA FRONTERA,SEVILLA,87,"12,8","1,2","5,9","19,8","0,3","6,1"
10507,2022-02-13,BAZA,GRANADA,785,"7,2","0,0","-2,3","16,8","1,9","8,9"
10508,2022-02-13,SAN FERNANDO,CADIZ,28,"15,2","4,1","10,9","19,6","1,9","7,8"
10524,2022-02-13,HINOJOSA DEL DUQUE,CORDOBA,551,"10,8","1,8","5,9","15,6","3,9","10,6"
10531,2022-02-13,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"10,0","1,6","6,8","13,2","3,1","8,9"
10538,2022-02-13,CAZALLA DE LA SIERRA,SEVILLA,550,"8,0","0,4","2,5","13,6","1,1","6,4"
10542,2022-02-13,JAÉN,JAEN,580,"10,8","0,8","7,8","13,9","1,7","9,7"
10554,2022-02-13,SEVILLA AEROPUERTO,SEVILLA,34,"12,8","0,2","7,2","18,5","2,5","8,3"
10555,2022-02-13,TORROX,MALAGA,3,"13,8","0,0","10,5","17,2","2,8","5,3"
10558,2022-02-13,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,6","0,0","10,4","16,8","1,4","5,0"
10559,2022-02-13,GRANADA AEROPUERTO,GRANADA,560,"10,0","0,0","2,0","18,0","1,4","8,9"
10562,2022-02-13,FUENGIROLA,MALAGA,8,,"0,0",,,"1,4","4,2"
10587,2022-02-13,ABLA,ALMERIA,869,"8,8","0,0","2,6","15,0","1,4","7,8"
10590,2022-02-13,ALAJAR,HUELVA,572,"10,7","2,8","8,8","12,6","2,5","9,2"
10597,2022-02-13,LOJA,GRANADA,760,"12,0","0,0","5,9","18,2","0,8","7,8"
10598,2022-02-13,MÁLAGA AEROPUERTO,MALAGA,7,"14,2","0,0","10,8","17,6","2,8","6,7"
10613,2022-02-13,GRAZALEMA,CADIZ,913,"10,2","0,1","4,9","15,5","1,1","6,7"
10616,2022-02-13,VILLARRODRIGO,JAEN,862,"9,9","2,8","5,8","14,0","2,5","8,9"
10618,2022-02-13,ANDÚJAR,JAEN,202,"10,7","1,4","3,9","17,5","1,9","6,7"
10620,2022-02-13,CÁDIZ,CADIZ,2,"15,5","3,0","12,1","18,9","2,5","9,4"
10631,2022-02-13,ALMERÍA AEROPUERTO,ALMERIA,21,"13,3","0,0","9,4","17,2","4,2","8,3"
10635,2022-02-13,"HUELVA, RONDA ESTE",HUELVA,18,"13,8","0,8","8,8","18,8","3,1","8,6"
10638,2022-02-13,"ROTA, BASE NAVAL",CADIZ,21,"13,3","4,6","7,7","18,9","2,5","8,3"
10640,2022-02-13,AYAMONTE,HUELVA,3,"14,2","0,3","9,1","19,2","2,8","8,9"
10649,2022-02-13,TARIFA,CADIZ,32,"13,3","0,0","10,6","16,0","6,1","11,9"
10657,2022-02-13,LA RODA DE ANDALUCÍA,SEVILLA,410,"12,4","0,8","6,7","18,2","2,2","7,2"
10661,2022-02-14,ANTEQUERA,MALAGA,408,"10,2","0,3","6,4","14,0","1,4","10,0"
10673,2022-02-14,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
10679,2022-02-14,HUÉRCAL-OVERA,ALMERIA,300,"12,6","0,0","6,8","18,4","4,2","15,0"
10702,2022-02-14,ADRA,ALMERIA,8,"16,2","0,1","12,0","20,3","3,6","14,7"
10706,2022-02-14,SANTA ELENA,JAEN,770,"8,4","0,2","5,2","11,6","3,3","10,0"
10708,2022-02-14,ARROYO DEL OJANCO,JAEN,580,"10,2","0,1","5,2","15,2",,
10717,2022-02-14,GRANADA BASE AÉREA,GRANADA,687,"8,6",Ip,"2,8","14,5","3,3","9,4"
10720,2022-02-14,"MOGUER, EL ARENOSILLO",HUELVA,41,"13,1","0,0","8,3","17,9","3,1","8,6"
10725,2022-02-14,VEJER DE LA FRONTERA,CADIZ,186,"13,7","2,6","10,6","16,8","3,1","8,9"
10729,2022-02-14,DOÑA MENCÍA,CORDOBA,650,"10,8","0,4","7,3","14,3","2,8","10,0"
10734,2022-02-14,CÓRDOBA AEROPUERTO,CORDOBA,90,"11,4","0,0","5,0","17,9","2,5","9,2"
10736,2022-02-14,ÉCIJA,SEVILLA,130,"11,8","0,0","5,1","18,5","3,9","8,3"
10739,2022-02-14,ESTEPONA,MALAGA,19,"17,3","0,0","12,2","22,4",,
10745,2022-02-14,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"12,6",Ip,"6,3","18,9","2,8","9,7"
10749,2022-02-14,MORÓN DE LA FRONTERA,SEVILLA,87,"11,6","0,0","4,5","18,6","1,7","6,4"
10750,2022-02-14,BAZA,GRANADA,785,"9,5","0,0","5,8","13,2","3,9","11,4"
10751,2022-02-14,SAN FERNANDO,CADIZ,28,"13,8","0,0","11,3","16,3","3,9","9,7"
10767,2022-02-14,HINOJOSA DEL DUQUE,CORDOBA,551,"8,2","0,0","2,8","13,6","5,0","10,3"
10774,2022-02-14,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"7,8","0,0","4,5","11,2","3,6","11,4"
10781,2022-02-14,CAZALLA DE LA SIERRA,SEVILLA,550,"9,2","0,1","4,2","14,1","1,7","9,7"
10785,2022-02-14,JAÉN,JAEN,580,"10,0","1,2","7,0","13,1","3,9","9,7"
10797,2022-02-14,SEVILLA AEROPUERTO,SEVILLA,34,"12,8","0,0","7,1","18,5","2,5","8,9"
10798,2022-02-14,TORROX,MALAGA,3,"15,7","0,0","11,7","19,7","6,4","16,1"
10801,2022-02-14,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,0","0,0","10,7","19,4","3,9","12,5"
10802,2022-02-14,GRANADA AEROPUERTO,GRANADA,560,"8,8","0,0","2,4","15,1","3,3","11,4"
10805,2022-02-14,FUENGIROLA,MALAGA,8,,"0,0",,,"3,3","11,9"
10830,2022-02-14,ABLA,ALMERIA,869,"11,6","0,0","5,7","17,4","3,1","8,9"
10833,2022-02-14,ALAJAR,HUELVA,572,"9,6","0,0","5,7","13,5","3,9","13,3"
10840,2022-02-14,LOJA,GRANADA,760,"11,6","0,3","8,4","14,7","3,3","10,0"
10841,2022-02-14,MÁLAGA AEROPUERTO,MALAGA,7,"15,0","0,0","9,6","20,3","5,0","15,3"
10856,2022-02-14,GRAZALEMA,CADIZ,913,"9,0","2,4","6,0","12,1","0,6","7,5"
10859,2022-02-14,VILLARRODRIGO,JAEN,862,"7,6","0,0","3,0","12,2","3,1","10,8"
10861,2022-02-14,ANDÚJAR,JAEN,202,"10,9","0,0","4,3","17,5","4,2","10,0"
10863,2022-02-14,CÁDIZ,CADIZ,2,"14,5","0,2","12,8","16,2","5,0","10,0"
10874,2022-02-14,ALMERÍA AEROPUERTO,ALMERIA,21,"14,6","0,0","9,6","19,5","4,2","17,5"
10878,2022-02-14,"HUELVA, RONDA ESTE",HUELVA,18,"13,6","0,0","9,2","18,1","2,8","10,6"
10881,2022-02-14,"ROTA, BASE NAVAL",CADIZ,21,"13,0","0,1","9,2","16,8","4,4","10,8"
10883,2022-02-14,AYAMONTE,HUELVA,3,"14,3","0,0","9,6","19,0","1,7","7,5"
10892,2022-02-14,TARIFA,CADIZ,32,"11,7","2,0","6,8","16,6","5,3","12,5"
10900,2022-02-14,LA RODA DE ANDALUCÍA,SEVILLA,410,"8,2","0,6","1,2","15,1","3,1","9,4"
10904,2022-02-15,ANTEQUERA,MALAGA,408,"7,4","0,0","-0,9","15,8","0,3","5,6"
10916,2022-02-15,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
10922,2022-02-15,HUÉRCAL-OVERA,ALMERIA,300,"11,8","0,0","5,1","18,5","1,9","10,6"
10945,2022-02-15,ADRA,ALMERIA,8,"16,0","0,0","12,4","19,7","1,9","6,4"
10949,2022-02-15,SANTA ELENA,JAEN,770,"7,8","0,0","2,2","13,4","1,1","8,3"
10951,2022-02-15,ARROYO DEL OJANCO,JAEN,580,"8,0","0,0","0,5","15,6",,
10960,2022-02-15,GRANADA BASE AÉREA,GRANADA,687,"7,0","0,0","-2,5","16,5","2,8","5,8"
10963,2022-02-15,"MOGUER, EL ARENOSILLO",HUELVA,41,"10,8","0,0","5,6","16,0","3,1","6,9"
10969,2022-02-15,VEJER DE LA FRONTERA,CADIZ,186,"13,8","0,0","8,0","19,5","1,9","8,3"
10973,2022-02-15,DOÑA MENCÍA,CORDOBA,650,"10,6","0,0","5,4","15,9","1,1","7,8"
10978,2022-02-15,CÓRDOBA AEROPUERTO,CORDOBA,90,"9,2","0,0","-0,3","18,8","1,4","5,8"
10980,2022-02-15,ÉCIJA,SEVILLA,130,"10,0","0,0","0,7","19,4","0,8","5,0"
10983,2022-02-15,ESTEPONA,MALAGA,19,"15,6","0,0","9,7","21,4","1,4",
10989,2022-02-15,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"12,1","0,0","3,0","21,2","4,7","9,2"
10993,2022-02-15,MORÓN DE LA FRONTERA,SEVILLA,87,"10,0","0,0","1,4","18,7","1,4","5,8"
10994,2022-02-15,BAZA,GRANADA,785,"6,8","0,0","-2,0","15,5","2,5","9,4"
10995,2022-02-15,SAN FERNANDO,CADIZ,28,"13,6","0,0","8,3","18,8","2,2","7,8"
11011,2022-02-15,HINOJOSA DEL DUQUE,CORDOBA,551,"6,5","0,0","-1,3","14,3","1,7","6,4"
11018,2022-02-15,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"7,4","0,0","1,2","13,6","1,9","7,8"
11025,2022-02-15,CAZALLA DE LA SIERRA,SEVILLA,550,"8,2","0,0","0,0","16,4","1,1","5,8"
11029,2022-02-15,JAÉN,JAEN,580,"9,2","0,0","3,6","14,7","1,7","5,8"
11041,2022-02-15,SEVILLA AEROPUERTO,SEVILLA,34,"11,0","0,0","3,1","18,8","1,4","5,8"
11042,2022-02-15,TORROX,MALAGA,3,"15,6","0,0","10,5","20,6","2,8","5,3"
11045,2022-02-15,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,6","0,0","9,6","19,7","2,5","9,4"
11046,2022-02-15,GRANADA AEROPUERTO,GRANADA,560,"7,2","0,0","-3,2","17,5","1,4","7,2"
11049,2022-02-15,FUENGIROLA,MALAGA,8,,"0,0",,,"1,9","11,1"
11074,2022-02-15,ABLA,ALMERIA,869,"10,8","0,0","3,0","18,6","1,4","8,6"
11077,2022-02-15,ALAJAR,HUELVA,572,"10,1","0,0","4,6","15,6","5,6","15,0"
11084,2022-02-15,LOJA,GRANADA,760,"10,8","0,0","3,9","17,6","1,9","7,8"
11085,2022-02-15,MÁLAGA AEROPUERTO,MALAGA,7,"14,4","0,0","8,7","20,2","3,3","12,8"
11100,2022-02-15,GRAZALEMA,CADIZ,913,"8,8","0,0","2,0","15,6","1,4","4,7"
11103,2022-02-15,VILLARRODRIGO,JAEN,862,"7,2","0,0","1,1","13,3","1,7","6,9"
11106,2022-02-15,ANDÚJAR,JAEN,202,"8,1","0,0","-1,4","17,6","0,6","4,7"
11108,2022-02-15,CÁDIZ,CADIZ,2,"13,1","0,0","9,3","16,9","4,7","8,9"
11119,2022-02-15,ALMERÍA AEROPUERTO,ALMERIA,21,"14,4","0,0","9,9","18,8","2,8","17,5"
11122,2022-02-15,"HUELVA, RONDA ESTE",HUELVA,18,"12,6","0,0","5,4","19,8","2,8","7,8"
11125,2022-02-15,"ROTA, BASE NAVAL",CADIZ,21,"11,2","0,0","4,3","18,2","4,2","8,9"
11127,2022-02-15,AYAMONTE,HUELVA,3,"13,4","0,0","7,7","19,0","1,7","6,4"
11136,2022-02-15,TARIFA,CADIZ,32,"10,8","0,0","5,0","16,5","1,7","5,8"
11144,2022-02-15,LA RODA DE ANDALUCÍA,SEVILLA,410,"7,8","0,0","-1,1","16,7","2,2","6,7"
11148,2022-02-16,ANTEQUERA,MALAGA,408,"8,3","0,0","0,0","16,6","0,8","7,8"
11160,2022-02-16,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
11166,2022-02-16,HUÉRCAL-OVERA,ALMERIA,300,"13,3","0,0","5,4","21,2","1,7","8,9"
11189,2022-02-16,ADRA,ALMERIA,8,"15,2","0,1","11,2","19,3","0,8","5,3"
11193,2022-02-16,SANTA ELENA,JAEN,770,"8,8","0,0","3,3","14,4","1,4","4,7"
11195,2022-02-16,ARROYO DEL OJANCO,JAEN,580,"9,0","0,0","0,9","17,1",,
