,fecha,nombre,provincia,altitud,tmed,prec,tmin,tmax,velmedia,racha
320,2022-01-02,ÉCIJA,SEVILLA,130,"13,0","0,0","4,2","21,8","0,8","2,5"
323,2022-01-02,ESTEPONA,MALAGA,19,"13,5","0,0","11,4","15,6","0,8","3,9"
329,2022-01-02,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"11,4","0,1","3,9","19,0","1,4","3,6"
333,2022-01-02,MORÓN DE LA FRONTERA,SEVILLA,87,"12,2","0,0","4,6","19,8","0,6","2,8"
334,2022-01-02,BAZA,GRANADA,785,"8,8","0,0","-2,3","19,9","1,7","4,2"
335,2022-01-02,SAN FERNANDO,CADIZ,28,"13,2","0,1","9,3","17,1","0,6","4,4"
351,2022-01-02,HINOJOSA DEL DUQUE,CORDOBA,551,"10,8","0,0","3,0","18,5","1,1","3,9"
357,2022-01-02,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"15,8","0,0","10,6","20,9","1,7","5,6"
364,2022-01-02,CAZALLA DE LA SIERRA,SEVILLA,550,"13,4","0,0","4,0","22,8","1,7","3,9"
368,2022-01-02,JAÉN,JAEN,580,"14,4","0,0","9,6","19,3","0,8","4,7"
380,2022-01-02,SEVILLA AEROPUERTO,SEVILLA,34,"13,0","0,0","6,4","19,5","2,2","5,0"
381,2022-01-02,TORROX,MALAGA,3,"12,2","0,0","8,5","15,8","1,9","4,2"
384,2022-01-02,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"11,5","0,0","6,5","16,5","0,8","4,2"
385,2022-01-02,GRANADA AEROPUERTO,GRANADA,560,"10,1","0,0","-0,4","20,6","0,3","3,6"
388,2022-01-02,FUENGIROLA,MALAGA,8,,"0,0",,,"1,1","3,9"
413,2022-01-02,ABLA,ALMERIA,869,"17,6","0,0","10,0","25,1","0,8","6,1"
416,2022-01-02,ALAJAR,HUELVA,572,"16,3","0,0","10,2","22,4","1,7","6,4"
423,2022-01-02,LOJA,GRANADA,760,"11,8",,"4,7","18,9","2,2","7,5"
424,2022-01-02,MÁLAGA AEROPUERTO,MALAGA,7,"10,6","0,0","6,0","15,3","1,7","5,8"
439,2022-01-02,GRAZALEMA,CADIZ,913,"14,8","0,0","8,4","21,1","1,9","3,9"
444,2022-01-02,ANDÚJAR,JAEN,202,"10,6","0,0","1,9","19,3","0,8","3,6"
446,2022-01-02,CÁDIZ,CADIZ,2,"14,2","0,0","10,4","18,0","0,8","4,2"
457,2022-01-02,ALMERÍA AEROPUERTO,ALMERIA,21,"12,3","0,0","8,8","15,8","2,2","5,8"
461,2022-01-02,"HUELVA, RONDA ESTE",HUELVA,18,"14,0","0,0","6,4","21,7","1,7","3,3"
464,2022-01-02,"ROTA, BASE NAVAL",CADIZ,21,"12,4","0,0","5,5","19,2","0,8","5,8"
466,2022-01-02,AYAMONTE,HUELVA,3,"13,9","0,0","8,6","19,2","0,8","3,3"
475,2022-01-02,TARIFA,CADIZ,32,"12,9","0,0","11,3","14,5","6,1","13,3"
484,2022-01-02,LA RODA DE ANDALUCÍA,SEVILLA,410,"13,0","0,0","3,9","22,0","1,9","4,7"
488,2022-01-03,ANTEQUERA,MALAGA,408,"11,0","0,0","1,2","20,7","1,1","3,6"
500,2022-01-03,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
506,2022-01-03,HUÉRCAL-OVERA,ALMERIA,300,"12,2","0,0","4,0","20,3","0,6","4,2"
528,2022-01-03,ADRA,ALMERIA,8,"12,6","0,0","9,7","15,6","1,4","5,0"
532,2022-01-03,SANTA ELENA,JAEN,770,"13,6","0,0","9,3","17,8","1,4","3,3"
534,2022-01-03,ARROYO DEL OJANCO,JAEN,580,"12,7","0,0","3,4","22,0",,
543,2022-01-03,GRANADA BASE AÉREA,GRANADA,687,"10,8","0,0","0,6","21,1","2,8","4,7"
546,2022-01-03,"MOGUER, EL ARENOSILLO",HUELVA,41,"13,8","0,1","8,1","19,6","2,5","6,1"
552,2022-01-03,VEJER DE LA FRONTERA,CADIZ,186,"15,6","0,0","10,5","20,8","1,1","4,2"
555,2022-01-03,DOÑA MENCÍA,CORDOBA,650,"17,9","0,0","11,8","24,0","1,7","6,1"
560,2022-01-03,CÓRDOBA AEROPUERTO,CORDOBA,90,"12,3","0,0","4,4","20,2","1,7","6,1"
562,2022-01-03,ÉCIJA,SEVILLA,130,"13,8","0,0","5,4","22,1","0,6","2,8"
565,2022-01-03,ESTEPONA,MALAGA,19,"12,8","0,0","10,0","15,6","1,1","3,1"
571,2022-01-03,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"12,4","0,2","3,5","21,3","1,7","4,2"
575,2022-01-03,MORÓN DE LA FRONTERA,SEVILLA,87,"13,6","0,0","5,6","21,7","0,8","3,6"
576,2022-01-03,BAZA,GRANADA,785,"8,6","0,0","-2,8","20,0","1,7","5,3"
577,2022-01-03,SAN FERNANDO,CADIZ,28,"12,8","0,2","8,5","17,1","1,9","4,4"
593,2022-01-03,HINOJOSA DEL DUQUE,CORDOBA,551,"12,6","0,0","5,3","20,0","0,6","2,8"
599,2022-01-03,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"15,2","0,0","10,1","20,4","1,4","4,7"
606,2022-01-03,CAZALLA DE LA SIERRA,SEVILLA,550,"14,0","0,0","5,8","22,3","1,1","3,9"
610,2022-01-03,JAÉN,JAEN,580,"13,2","0,0","6,8","19,5","1,1","3,1"
622,2022-01-03,SEVILLA AEROPUERTO,SEVILLA,34,"14,6","0,1","7,8","21,3","1,9","6,7"
623,2022-01-03,TORROX,MALAGA,3,"11,7","0,0","7,6","15,8","1,9","4,2"
626,2022-01-03,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"10,9","0,2","5,4","16,4","1,1","3,9"
627,2022-01-03,GRANADA AEROPUERTO,GRANADA,560,"9,6","0,0","-1,3","20,4","0,6","4,2"
630,2022-01-03,FUENGIROLA,MALAGA,8,,"0,0",,,"1,1","4,7"
655,2022-01-03,ABLA,ALMERIA,869,"15,8","0,0","8,3","23,2","1,1","8,6"
658,2022-01-03,ALAJAR,HUELVA,572,"16,4","0,0","11,0","21,8","1,4","4,4"
665,2022-01-03,LOJA,GRANADA,760,"10,8",,"2,1","19,4","0,8","7,5"
666,2022-01-03,MÁLAGA AEROPUERTO,MALAGA,7,"10,3","0,0","5,0","15,6","2,5","5,8"
681,2022-01-03,GRAZALEMA,CADIZ,913,"15,0","0,0","8,2","21,7","1,9","3,6"
686,2022-01-03,ANDÚJAR,JAEN,202,"11,4","0,0","2,0","20,8","0,3","4,4"
688,2022-01-03,CÁDIZ,CADIZ,2,"13,9","0,0","10,2","17,6","1,1","4,7"
699,2022-01-03,ALMERÍA AEROPUERTO,ALMERIA,21,"11,7","0,0","7,7","15,7","2,2","5,0"
703,2022-01-03,"HUELVA, RONDA ESTE",HUELVA,18,"15,2","0,0","7,9","22,5","1,4","3,9"
706,2022-01-03,"ROTA, BASE NAVAL",CADIZ,21,"12,3","0,0","5,7","18,9","1,4","7,2"
708,2022-01-03,AYAMONTE,HUELVA,3,"14,8","0,1","9,8","19,9","0,6","3,6"
717,2022-01-03,TARIFA,CADIZ,32,"11,4","0,0","8,5","14,4","5,6","12,5"
726,2022-01-03,LA RODA DE ANDALUCÍA,SEVILLA,410,"13,7","0,0","4,0","23,4","1,1","4,7"
730,2022-01-04,ANTEQUERA,MALAGA,408,"10,2","2,8","3,3","17,0","1,1","10,8"
742,2022-01-04,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
748,2022-01-04,HUÉRCAL-OVERA,ALMERIA,300,"13,9","0,0","4,8","23,0","2,2","18,9"
770,2022-01-04,ADRA,ALMERIA,8,"14,6","0,0","9,8","19,5","3,9","15,6"
